episode,reward,avg_wait_time,avg_ambulance_wait,avg_firetruck_wait,throughput_per_min,total_spawned,total_cleared,ambulance_cleared,firetruck_cleared,epsilon,mean_td_error
278,206.3,1.62,0.02,0.02,91.2,50,38,1,1,0.5732,1.1348
279,-1889.4,1.77,0.0,0.02,100.8,57,42,0,1,0.572,1.9953
280,-68.1,2.01,0.0,0.0,117.6,65,49,0,0,0.5709,0.9277
281,257.8,1.01,0.02,0.02,96.0,51,40,1,1,0.5697,1.1465
282,96.4,0.81,0.67,0.0,98.4,53,41,6,0,0.5686,1.5958
283,218.05,1.18,0.0,0.02,100.8,52,42,0,1,0.5675,1.1283
284,20.3,2.12,0.02,0.0,122.4,65,51,1,0,0.5663,1.1619
285,-206.05,1.66,1.37,0.0,93.6,52,39,2,0,0.5652,1.2032
286,-479.9,1.39,3.03,2.05,103.2,54,43,1,1,0.5641,1.6785
287,9.1,1.32,0.0,0.0,105.6,57,44,0,0,0.5629,0.8555
288,-615.1,2.04,2.69,0.97,112.8,63,47,3,1,0.5618,1.6868
289,-105.0,1.58,0.0,0.0,100.8,55,42,0,0,0.5607,0.8287
290,221.7,1.37,0.02,0.0,112.8,61,47,2,0,0.5596,1.051
291,-146.6,1.54,0.79,0.06,100.8,59,42,3,2,0.5585,1.917
292,-44.35,1.67,0.0,0.0,120.0,67,50,0,0,0.5573,0.9052
293,-18.9,1.69,0.02,0.0,93.6,53,39,1,0,0.5562,0.9191
294,81.9,1.21,0.43,0.0,100.8,54,42,3,0,0.5551,1.2817
295,174.7,1.71,0.02,0.0,110.4,59,46,2,0,0.554,1.0296
296,-566.45,1.66,1.58,0.0,105.6,62,44,3,0,0.5529,1.4874
297,28.2,1.56,0.91,0.42,93.6,48,39,5,2,0.5518,1.8944
298,-171.25,1.7,2.4,0.9,103.2,58,43,1,1,0.5507,1.3294
299,411.45,1.26,0.02,0.02,108.0,60,45,1,2,0.5496,1.5833
300,-198.6,1.59,2.55,0.65,112.8,62,47,1,1,0.5485,1.5949
301,45.1,1.63,0.02,0.88,96.0,53,40,1,1,0.5474,1.2763
302,18.5,1.12,0.02,0.0,98.4,54,41,1,0,0.5463,1.0064
303,-1022.35,2.16,1.81,2.04,100.8,56,42,3,3,0.5452,2.4663
304,-502.85,2.14,5.07,0.67,100.8,58,42,1,1,0.5441,1.4356
305,133.45,1.45,0.0,0.02,96.0,54,40,0,1,0.543,1.2831
306,-168.6,1.2,1.68,0.02,103.2,57,43,5,1,0.5419,1.9434
307,-354.6,1.96,0.0,2.5,108.0,61,45,0,1,0.5408,1.3573
308,-485.8,2.19,0.0,1.97,110.4,63,46,0,1,0.5398,1.6587
